[2026-02-27 13:51:45][INFO][Server] listening on port 8080
[2026-03-05 13:21:09][INFO] [Monitor] CPU=0.999393% Mem=4.355469MB TPS=0
[2026-03-05 13:21:10][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:11][INFO] [Monitor] CPU=0.999311% Mem=4.355469MB TPS=0
[2026-03-05 13:21:12][INFO] [Monitor] CPU=0.999388% Mem=4.355469MB TPS=0
[2026-03-05 13:21:13][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:14][INFO] [Monitor] CPU=0.996687% Mem=4.355469MB TPS=0
[2026-03-05 13:21:15][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:16][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:17][INFO] [Monitor] CPU=0.999294% Mem=4.355469MB TPS=0
[2026-03-05 13:21:18][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:19][INFO] [Monitor] CPU=0.999233% Mem=4.355469MB TPS=0
[2026-03-05 13:21:20][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:21][INFO] [Monitor] CPU=0.997804% Mem=4.355469MB TPS=0
[2026-03-05 13:21:22][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:23][INFO] [Monitor] CPU=0.999054% Mem=4.355469MB TPS=0
[2026-03-05 13:21:24][INFO] [Monitor] CPU=0.998421% Mem=4.355469MB TPS=0
[2026-03-05 13:21:25][INFO] [Monitor] CPU=0.998641% Mem=4.355469MB TPS=0
[2026-03-05 13:21:26][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:27][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:28][INFO] [Monitor] CPU=0.999305% Mem=4.355469MB TPS=0
[2026-03-05 13:21:29][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:30][INFO] [Monitor] CPU=0.996849% Mem=4.355469MB TPS=0
[2026-03-05 13:21:31][INFO] [Monitor] CPU=0.999303% Mem=4.355469MB TPS=0
[2026-03-05 13:21:32][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:33][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:34][INFO] [Monitor] CPU=0.999365% Mem=4.355469MB TPS=0
[2026-03-05 13:21:35][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:36][INFO] [Monitor] CPU=0.998369% Mem=4.355469MB TPS=0
[2026-03-05 13:21:37][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:38][INFO] [Monitor] CPU=0.999350% Mem=4.355469MB TPS=0
[2026-03-05 13:21:39][INFO] [Monitor] CPU=0.999087% Mem=4.355469MB TPS=0
[2026-03-05 13:21:40][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:41][INFO] [Monitor] CPU=0.998853% Mem=4.355469MB TPS=0
[2026-03-05 13:21:42][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:43][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:44][INFO] [Monitor] CPU=0.999145% Mem=4.355469MB TPS=0
[2026-03-05 13:21:45][INFO] [Monitor] CPU=0.999119% Mem=4.355469MB TPS=0
[2026-03-05 13:21:46][INFO] [Monitor] CPU=0.999108% Mem=4.355469MB TPS=0
[2026-03-05 13:21:47][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:48][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:49][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:50][INFO] [Monitor] CPU=0.998964% Mem=4.355469MB TPS=0
[2026-03-05 13:21:51][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:52][INFO] [Monitor] CPU=1.994590% Mem=4.355469MB TPS=0
[2026-03-05 13:21:53][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:54][INFO] [Monitor] CPU=0.996286% Mem=4.355469MB TPS=0
[2026-03-05 13:21:55][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:56][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:57][INFO] [Monitor] CPU=0.990041% Mem=4.355469MB TPS=0
[2026-03-05 13:21:58][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:59][INFO] [Monitor] CPU=0.961578% Mem=4.355469MB TPS=0
